"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","044","BHS","Bahamas","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","32.45"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","044","BHS","Bahamas","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","30.3359575735721"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","048","BHR","Bahrain, Kingdom of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","4.7"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","048","BHR","Bahrain, Kingdom of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","4.72"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","048","BHR","Bahrain, Kingdom of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","4.83"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","048","BHR","Bahrain, Kingdom of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","5.3"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","048","BHR","Bahrain, Kingdom of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","4.78"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","048","BHR","Bahrain, Kingdom of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2020","","","","4.78"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","048","BHR","Bahrain, Kingdom of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","4.79"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","048","BHR","Bahrain, Kingdom of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","4.49624728119352"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","048","BHR","Bahrain, Kingdom of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","4.51335958234363"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","048","BHR","Bahrain, Kingdom of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","4.72185533221126"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","050","BGD","Bangladesh","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","13.87"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","050","BGD","Bangladesh","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","13.87"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","050","BGD","Bangladesh","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","13.99"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","050","BGD","Bangladesh","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","13.96"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","050","BGD","Bangladesh","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","13.97"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","050","BGD","Bangladesh","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","14.1439435814215"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","050","BGD","Bangladesh","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","14.0669914408849"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","050","BGD","Bangladesh","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","14.0779595238301"
